modelo;data_criacao;id_carro_modelo
CLASSE A;2022-09-23;345
CLASSE B;2022-09-23;346
CLASSE R;2022-09-23;347
CLASSE GLK;2022-09-23;348
SPRINTER;2022-09-23;349
MYSTIQUE;2022-09-23;350
SABLE;2022-09-23;351
MG6;2022-09-23;353
COOPER;2022-09-23;354
ONE;2022-09-23;355
3000;2022-09-23;356
AIRTREK;2022-09-23;357
ASX;2022-09-23;358
COLT;2022-09-23;359
DIAMANT;2022-09-23;360
ECLIPSE;2022-09-23;361
EXPO;2022-09-23;362
GALANT;2022-09-23;363
GRANDIS;2022-09-23;364
L200;2022-09-23;365
L300;2022-09-23;366
LANCER;2022-09-23;367
MIRAGE;2022-09-23;368
MONTERO;2022-09-23;369
OUTLANDER;2022-09-23;370
PAJERO;2022-09-23;371
SPACE WAGON;2022-09-23;372
BG-TRUCK;2022-09-23;373
350Z;2022-09-23;374
ALTIMA;2022-09-23;375
D-21;2022-09-23;377
FRONTIER;2022-09-23;378
KING-CAB;2022-09-23;379
LIVINA;2022-09-23;380
MARCH;2022-09-23;381
MAXIMA;2022-09-23;382
MURANO;2022-09-23;383
NX;2022-09-23;384
PATHFINDER;2022-09-23;385
PRIMERA;2022-09-23;386
QUEST;2022-09-23;387
SENTRA;2022-09-23;388
STANZA;2022-09-23;389
180SX;2022-09-23;390
TERRANO;2022-09-23;391
TIIDA;2022-09-23;392
VERSA;2022-09-23;393
X-TRAIL;2022-09-23;394
XTERRA;2022-09-23;395
106;2022-09-23;397
205;2022-09-23;398
206;2022-09-23;399
207;2022-09-23;400
3008;2022-09-23;401
306;2022-09-23;402
307;2022-09-23;403
308;2022-09-23;404
405;2022-09-23;405
406;2022-09-23;406
407;2022-09-23;407
408;2022-09-23;408
504;2022-09-23;409
505;2022-09-23;410
508;2022-09-23;411
605;2022-09-23;412
607;2022-09-23;413
806;2022-09-23;414
807;2022-09-23;415
BOXER;2022-09-23;416
HOGGAR;2022-09-23;417
PARTNER;2022-09-23;418
RCZ;2022-09-23;419
GRAN VOYAGER;2022-09-23;420
SUNDANCE;2022-09-23;421
TRANS-AM;2022-09-23;422
TRANS-SPORT;2022-09-23;423
911;2022-09-23;424
BOXSTER;2022-09-23;425
CAYENNE;2022-09-23;426
CAYMAN;2022-09-23;427
PANAMERA;2022-09-23;428
21 SEDAN;2022-09-23;429
CLIO;2022-09-23;430
DUSTER;2022-09-23;431
EXPRESS;2022-09-23;432
FLUENCE;2022-09-23;433
KANGOO;2022-09-23;434
LAGUNA;2022-09-23;435
LOGAN;2022-09-23;436
MEGANE;2022-09-23;438
SAFRANE;2022-09-23;439
SANDERO;2022-09-23;440
SCENIC;2022-09-23;441
SYMBOL;2022-09-23;442
TWINGO;2022-09-23;444
9000;2022-09-23;445
SL-2;2022-09-23;446
CORDOBA;2022-09-23;447
INCA;2022-09-23;449
FORTWO;2022-09-23;450
ACTYON SPORTS;2022-09-23;451
CHAIRMAN;2022-09-23;452
ISTANA;2022-09-23;453
KORANDO;2022-09-23;454
KYRON;2022-09-23;455
MUSSO;2022-09-23;456
REXTON;2022-09-23;457
FORESTER;2022-09-23;458
IMPREZA;2022-09-23;459
LEGACY;2022-09-23;460
OUTBACK;2022-09-23;461
SVX;2022-09-23;462
TRIBECA;2022-09-23;463
VIVIO;2022-09-23;464
BALENO;2022-09-23;465
GRAND VITARA;2022-09-23;466
IGNIS;2022-09-23;467
JIMNY;2022-09-23;468
SUPER CARRY;2022-09-23;469
SWIFT;2022-09-23;470
SX4;2022-09-23;471
VITARA;2022-09-23;472
WAGON R;2022-09-23;473
STARK;2022-09-23;474
AVALON;2022-09-23;475
BANDEIRANTE;2022-09-23;476
CAMRY;2022-09-23;477
CELICA;2022-09-23;478
COROLLA;2022-09-23;479
CORONA;2022-09-23;480
HILUX;2022-09-23;481
LAND CRUISER;2022-09-23;482
MR-2;2022-09-23;483
PASEO;2022-09-23;484
PREVIA;2022-09-23;485
RAV4;2022-09-23;486
SUPRA;2022-09-23;487
PANTANAL;2022-09-23;488
T-4;2022-09-23;489
400 SERIES;2022-09-23;490
850;2022-09-23;491
900 SERIES;2022-09-23;492
AMAROK;2022-09-23;493
APOLLO;2022-09-23;494
BORA;2022-09-23;495
CARAVELLE;2022-09-23;496
CORRADO;2022-09-23;497
EOS;2022-09-23;498
EUROVAN;2022-09-23;499
FOX;2022-09-23;500
FUSCA;2022-09-23;501
GOL;2022-09-23;502
GOLF;2022-09-23;503
JETTA;2022-09-23;504
KOMBI;2022-09-23;505
LOGUS;2022-09-23;506
PARATI;2022-09-23;507
PASSAT;2022-09-23;508
POINTER;2022-09-23;509
POLO;2022-09-23;510
SANTANA;2022-09-23;511
SAVEIRO;2022-09-23;512
SPACEFOX;2022-09-23;513
TIGUAN;2022-09-23;514
TOUAREG;2022-09-23;515
VOYAGE;2022-09-23;516
ZDX;2022-09-23;517
140;2022-09-23;518
BRASILIA;2022-09-23;519
BRASILVAN;2022-09-23;520
CORCEL;2022-09-23;521
PALIO WEEKEND;2022-09-23;522
FOCUS SEDAN;2022-09-23;523
FIESTA SEDAN;2022-09-23;524
FIESTA TRAIL;2022-09-23;525
207 SW;2022-09-23;526
ESCORT SW;2022-09-23;527
307 SEDAN;2022-09-23;528
307 SW;2022-09-23;529
C4 PALLAS;2022-09-23;530
C4 PICASSO;2022-09-23;531
C4 VTR;2022-09-23;532
CLIO SEDAN;2022-09-23;533
COROLLA FIELDER;2022-09-23;534
HILUX SW4;2022-09-23;535
MEGANE GRAND TOUR;2022-09-23;536
SANDERO STEPWAY;2022-09-23;537
XSARA PICASSO;2022-09-23;538
COLHEITADEIRA;2022-09-23;539
PICKUP F75;2022-09-23;540
X12;2022-09-23;541
BEL AIR;2022-09-23;542
C-14;2022-09-23;544
SRX4;2022-09-23;545
C-15;2022-09-23;546
BRASIL;2022-09-23;547
POLARA;2022-09-23;548
600;2022-09-23;549
F-01;2022-09-23;550
